GP,Date,Venue,Opponent,GF,GA,Result,OT Result,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
32,2023-12-31,Home,Buffalo Sabres,5,1,W,,31,20,1,1,0,50,59,45.9,35,45,43.8,27,24,52.9,38.7,111.6
33,2024-01-02,Away,Vancouver Canucks,3,6,L,,38,12,0,1,0,61,57,51.7,44,37,54.3,26,25,51.0,59.4,87.3
34,2024-01-04,Away,Seattle Kraken,1,4,L,,33,4,0,4,0,67,50,57.3,47,36,56.6,19,18,51.4,65.4,87.5
35,2024-01-06,Away,Edmonton Oilers,1,3,L,,30,6,0,3,0,55,56,49.5,40,41,49.4,15,23,39.5,61.5,101.3
36,2024-01-09,Away,Calgary Flames,3,6,L,,33,4,1,3,0,51,55,48.1,38,41,48.1,27,22,55.1,43.3,88.3
37,2024-01-11,Away,Buffalo Sabres,3,5,L,,28,6,0,4,0,59,46,56.2,33,34,49.3,24,23,51.1,53.1,99.3
38,2024-01-13,Home,San Jose Sharks,5,4,W,,41,4,0,2,0,78,34,69.6,50,22,69.4,23,20,53.5,85.2,87.2
39,2024-01-16,Home,Colorado Avalanche,4,7,L,,40,10,1,3,0,74,47,61.2,50,33,60.2,37,25,59.7,65.6,87.1
40,2024-01-18,Home,Montreal Canadiens,6,2,W,,37,15,0,2,0,69,44,61.1,56,30,65.1,23,26,46.9,70.9,107.1
41,2024-01-20,Home,Winnipeg Jets,1,2,L,OT,35,13,0,4,0,53,43,55.2,37,30,55.2,18,20,47.4,56.1,94.2
42,2024-01-21,Away,Philadelphia Flyers,5,3,W,,34,8,0,3,0,57,37,60.6,45,24,65.2,32,21,60.4,36.6,110.6
43,2024-01-23,Away,Montreal Canadiens,4,1,W,,28,10,0,5,1,37,43,46.3,28,30,48.3,19,20,48.7,46.1,108.9
44,2024-01-25,Home,Boston Bruins,2,3,L,OT,37,8,2,6,0,56,38,59.6,37,26,58.7,21,21,50.0,54.2,90.0
45,2024-01-27,Home,New York Rangers,2,7,L,,31,28,1,1,0,57,50,53.3,43,34,55.8,23,28,45.1,58.1,76.8
46,2024-01-29,Home,Nashville Predators,4,3,W,OT,35,8,0,3,0,58,50,53.7,45,28,61.6,29,27,51.8,51.7,100.2
47,2024-01-31,Away,Detroit Red Wings,3,2,W,OT,25,2,0,3,0,54,56,49.1,41,41,50.0,22,24,47.8,46.7,106.7
48,2024-02-10,Home,Toronto Maple Leafs,5,3,W,,32,0,0,3,0,57,64,47.1,42,51,45.2,22,20,52.4,44.0,110.7
49,2024-02-13,Home,Columbus Blue Jackets,6,3,W,,30,12,2,5,1,39,67,36.8,28,51,35.4,17,23,42.5,42.5,105.7
50,2024-02-15,Home,Anaheim Ducks,1,5,L,,34,8,0,4,0,51,35,59.3,39,26,60.0,22,25,46.8,55.0,85.4
51,2024-02-17,Away,Chicago Blackhawks,2,3,L,,42,2,1,2,0,71,43,62.3,52,29,64.2,25,30,45.5,71.4,86.9
52,2024-02-19,Away,Tampa Bay Lightning,4,2,W,,28,7,0,1,0,61,67,47.7,38,41,48.1,31,33,48.4,56.9,107.4
53,2024-02-20,Away,Florida Panthers,2,3,L,OT,30,6,0,2,0,42,65,39.3,35,41,46.1,30,24,55.6,30.8,98.3
54,2024-02-22,Home,Dallas Stars,4,1,W,,30,4,1,4,0,47,49,49.0,40,25,61.5,27,17,61.4,46.9,105.4
55,2024-02-24,Home,Vegas Golden Knights,4,3,W,SO,33,6,1,3,0,63,58,52.1,44,39,53.0,27,17,61.4,46.1,99.3
56,2024-02-26,Away,Washington Capitals,3,6,L,,21,6,0,1,0,52,37,58.4,26,30,46.4,21,25,45.7,60.9,90.8
57,2024-02-27,Away,Nashville Predators,1,4,L,,25,11,1,2,0,41,66,38.3,28,45,38.4,25,31,44.6,44.7,90.3
58,2024-03-01,Home,Arizona Coyotes,3,5,L,,37,12,1,3,0,54,50,51.9,42,37,53.2,28,27,50.9,48.6,94.0
59,2024-03-02,Away,Philadelphia Flyers,2,4,L,,26,10,0,5,0,50,47,51.5,29,39,42.6,23,19,54.8,45.8,98.2
60,2024-03-06,Away,Anaheim Ducks,1,2,L,,30,10,0,3,0,58,36,61.7,41,23,64.1,19,13,59.4,55.8,88.5
61,2024-03-07,Away,Los Angeles Kings,3,4,L,OT,31,2,1,4,0,46,69,40.0,31,50,38.3,25,27,48.1,44.2,96.3
62,2024-03-09,Away,San Jose Sharks,1,2,L,,32,8,1,3,0,59,46,56.2,43,32,57.3,24,17,58.5,54.8,100.0
63,2024-03-12,Home,Pittsburgh Penguins,2,1,W,OT,39,9,0,2,0,60,60,50.0,47,47,50.0,22,21,51.2,42.8,102.3
64,2024-03-14,Away,Columbus Blue Jackets,3,2,W,SO,37,6,0,3,0,68,66,50.7,42,46,47.7,16,28,36.4,49.8,103.3
65,2024-03-16,Away,New York Islanders,4,3,W,OT,30,6,2,3,0,48,54,47.1,35,34,50.7,25,25,50.0,37.0,101.6
66,2024-03-17,Home,Carolina Hurricanes,2,7,L,,32,6,0,2,0,50,61,45.0,39,48,44.8,20,20,50.0,50.0,89.0
67,2024-03-19,Away,Boston Bruins,2,6,L,,31,16,1,4,0,46,46,50.0,30,31,49.2,15,35,30.0,71.5,85.3
68,2024-03-21,Home,St. Louis Blues,2,5,L,,39,4,1,3,0,61,33,64.9,45,26,63.4,22,18,55.0,65.0,81.6
69,2024-03-23,Away,New Jersey Devils,5,2,W,,25,13,0,5,1,35,32,52.2,30,23,56.6,15,22,40.5,53.8,109.9
70,2024-03-24,Home,Edmonton Oilers,5,3,W,,16,6,3,4,0,29,51,36.3,20,42,32.3,21,22,48.8,32.1,112.1
71,2024-03-27,Away,Buffalo Sabres,6,2,W,,42,10,0,2,0,57,65,46.7,48,50,49.0,33,20,62.3,37.1,110.0
72,2024-03-28,Home,Chicago Blackhawks,2,0,W,,34,4,0,2,1,58,40,59.2,43,27,61.4,22,14,61.1,68.0,103.2
73,2024-03-30,Away,Winnipeg Jets,3,2,W,,27,10,1,5,0,44,52,45.8,33,33,50.0,20,17,54.1,47.7,106.3
74,2024-04-02,Away,Minnesota Wild,2,3,L,,32,10,2,3,0,58,27,68.2,39,22,63.9,33,12,73.3,66.0,81.3
75,2024-04-04,Home,Florida Panthers,0,6,L,,30,6,0,6,0,46,52,46.9,32,36,47.1,19,18,51.4,65.0,81.5
76,2024-04-06,Home,New Jersey Devils,3,4,L,,28,11,2,3,0,67,60,52.8,45,39,53.6,21,30,41.2,45.7,87.8
77,2024-04-07,Away,Washington Capitals,3,2,W,OT,21,8,0,2,0,63,38,62.4,39,29,57.4,28,18,60.9,60.6,103.3
78,2024-04-09,Away,Florida Panthers,0,2,L,,26,20,0,3,0,47,31,60.3,36,18,66.7,17,16,51.5,73.9,92.9
79,2024-04-11,Away,Tampa Bay Lightning,3,2,W,SO,27,12,0,4,0,52,35,59.8,32,24,57.1,16,28,36.4,63.8,101.2
80,2024-04-13,Home,Montreal Canadiens,5,4,W,SO,44,6,3,6,0,62,47,56.9,46,32,59.0,22,21,51.2,65.0,94.2
81,2024-04-15,Away,New York Rangers,0,4,L,,25,6,0,2,0,54,46,54.0,34,35,49.3,19,18,51.4,50.0,88.0
82,2024-04-16,Away,Boston Bruins,3,1,W,,20,6,0,2,1,33,54,37.9,24,39,38.1,10,26,27.8,53.2,110.5
1,2023-10-11,Away,Toronto Maple Leafs,5,6,L,SO,24,25,1,4,0,42,54,43.8,30,43,41.1,20,20,50.0,25.0,110.9
2,2023-10-14,Home,Chicago Blackhawks,3,2,W,,36,20,0,2,1,50,32,61.0,33,23,58.9,24,7,77.4,45.8,95.2
3,2023-10-17,Home,Minnesota Wild,2,5,L,,28,40,0,5,0,31,36,46.3,27,21,56.3,16,17,48.5,52.8,111.1
4,2023-10-21,Home,Washington Capitals,3,2,W,OT,28,10,1,6,0,50,48,51.0,32,34,48.5,18,14,56.3,41.2,101.5
5,2023-10-23,Away,Buffalo Sabres,3,1,W,,27,10,1,3,0,34,50,40.5,24,38,38.7,22,18,55.0,24.1,111.8
6,2023-10-24,Home,New Jersey Devils,2,5,L,,29,8,1,4,0,43,60,41.7,31,44,41.3,19,26,42.2,39.3,92.9
7,2023-10-26,Home,Columbus Blue Jackets,4,3,W,OT,29,17,2,5,0,60,50,54.5,37,33,52.9,18,24,42.9,43.2,104.7
8,2023-10-28,Home,Winnipeg Jets,4,3,W,SO,29,13,1,2,0,46,66,41.1,33,54,37.9,17,29,37.0,40.5,100.9
9,2023-10-30,Away,Vegas Golden Knights,2,3,L,SO,39,6,0,4,1,54,44,55.1,43,34,55.8,29,17,63.0,48.9,98.9
10,2023-11-02,Away,Arizona Coyotes,2,3,L,,30,8,1,5,0,44,58,43.1,35,37,48.6,28,15,65.1,44.8,96.9
11,2023-11-04,Away,St. Louis Blues,3,6,L,,33,2,1,4,0,50,56,47.2,37,42,46.8,28,29,49.1,48.7,91.0
12,2023-11-07,Home,Tampa Bay Lightning,3,5,L,,26,19,1,6,0,43,38,53.1,29,29,50.0,19,19,50.0,36.3,97.5
13,2023-11-09,Away,Detroit Red Wings,3,2,W,OT,27,10,2,5,0,46,45,50.5,33,33,50.0,23,22,51.1,60.1,93.8
14,2023-11-11,Home,Boston Bruins,3,2,W,OT,27,8,1,4,0,45,45,50.0,31,32,49.2,18,15,54.5,64.7,104.1
15,2023-11-12,Home,Vancouver Canucks,2,5,L,,32,4,1,2,0,54,66,45.0,37,46,44.6,16,19,45.7,33.3,87.4
16,2023-11-14,Home,Calgary Flames,1,2,L,,35,6,0,4,0,57,47,54.8,39,38,50.6,22,24,47.8,44.5,96.3
17,2023-11-16,Home,Vegas Golden Knights,5,6,L,,28,14,0,3,0,37,60,38.1,28,43,39.4,24,24,50.0,35.5,115.3
18,2023-11-18,Away,Boston Bruins,2,5,L,,22,12,0,2,0,30,63,32.3,18,52,25.7,26,23,53.1,29.9,102.7
19,2023-11-22,Away,Anaheim Ducks,4,3,W,,28,4,0,3,0,43,62,41.0,29,47,38.2,28,25,52.8,39.5,111.5
20,2023-11-24,Away,San Jose Sharks,3,2,W,SO,24,4,0,2,0,51,48,51.5,35,35,50.0,24,18,57.1,56.3,105.2
21,2023-11-25,Away,Los Angeles Kings,0,4,L,,18,4,0,3,0,32,54,37.2,20,37,35.1,23,19,54.8,52.0,85.2
22,2023-11-29,Away,Columbus Blue Jackets,4,2,W,,31,4,0,0,0,61,52,54.0,42,42,50.0,19,17,52.8,52.3,106.2
23,2023-11-30,Home,Florida Panthers,1,5,L,,22,13,0,6,0,38,44,46.3,27,29,48.2,27,15,64.3,37.5,88.1
24,2023-12-02,Home,Detroit Red Wings,4,5,L,OT,30,8,1,5,1,57,46,55.3,37,34,52.1,28,17,62.2,43.6,96.8
25,2023-12-04,Home,Seattle Kraken,4,2,W,,30,4,1,1,0,45,55,45.0,38,37,50.7,25,20,55.6,34.6,106.9
26,2023-12-07,Home,Los Angeles Kings,0,4,L,,24,9,0,3,0,50,57,46.7,30,48,38.5,30,21,58.8,35.3,92.3
27,2023-12-09,Away,Buffalo Sabres,3,2,W,SO,31,17,1,4,0,38,63,37.6,32,49,39.5,22,16,57.9,37.0,99.3
28,2023-12-10,Home,Nashville Predators,1,2,L,,37,8,0,5,0,57,46,55.3,44,32,57.9,25,21,54.3,56.7,99.6
29,2023-12-13,Home,Pittsburgh Penguins,3,4,L,SO,42,6,1,4,0,61,49,55.5,46,36,56.1,24,23,51.1,47.4,101.7
30,2023-12-16,Home,New York Islanders,5,3,W,,41,2,0,2,0,61,55,52.6,45,37,54.9,31,15,67.4,60.0,108.0
31,2023-12-18,Away,Winnipeg Jets,3,2,W,OT,26,6,2,3,0,38,63,37.6,27,42,39.1,21,20,51.2,48.3,98.4
32,2023-12-21,Away,Minnesota Wild,3,4,L,OT,25,19,1,5,0,39,32,54.9,31,24,56.4,23,15,60.5,44.9,97.2
33,2023-12-22,Away,Chicago Blackhawks,5,2,W,,28,7,0,3,0,58,52,52.7,37,35,51.4,26,20,56.5,57.6,109.0
34,2023-12-28,Away,Carolina Hurricanes,3,5,L,,21,6,1,4,0,46,56,45.1,37,33,52.9,32,23,58.2,34.4,94.5
35,2023-12-30,Away,Florida Panthers,1,4,L,,19,11,1,2,0,40,50,44.4,30,33,47.6,24,14,63.2,41.7,90.5
36,2023-12-31,Away,Tampa Bay Lightning,3,4,L,,29,13,0,1,0,61,47,56.5,43,30,58.9,30,16,65.2,56.9,90.7
37,2024-01-02,Away,Dallas Stars,4,3,W,,18,2,1,3,0,28,75,27.2,19,51,27.1,22,25,46.8,22.6,113.4
38,2024-01-04,Home,Buffalo Sabres,1,6,L,,33,12,0,3,1,50,58,46.3,34,46,42.5,23,22,51.1,58.6,86.7
39,2024-01-06,Home,New York Rangers,4,3,W,SO,30,6,0,2,0,53,66,44.5,39,46,45.9,18,20,47.4,55.9,103.7
40,2024-01-10,Away,Philadelphia Flyers,2,3,L,SO,19,4,0,1,0,44,76,36.7,29,51,36.3,25,28,47.2,26.2,107.9
41,2024-01-11,Home,San Jose Sharks,2,3,L,,35,8,0,1,0,67,52,56.3,46,40,53.5,25,28,47.2,63.1,96.5
42,2024-01-13,Home,Edmonton Oilers,1,2,L,OT,24,10,1,4,0,34,64,34.7,25,45,35.7,28,25,52.8,44.8,96.8
43,2024-01-15,Home,Colorado Avalanche,4,3,W,,34,10,2,2,0,44,66,40.0,36,44,45.0,39,25,60.9,47.4,100.0
44,2024-01-17,Away,New Jersey Devils,3,2,W,,25,8,0,1,0,37,52,41.6,26,39,40.0,8,24,25.0,56.3,115.8
45,2024-01-18,Away,Ottawa Senators,2,6,L,,23,11,0,4,0,45,66,40.5,30,56,34.9,26,23,53.1,29.1,92.9
46,2024-01-20,Away,Boston Bruins,4,9,L,,21,11,2,3,0,41,44,48.2,29,37,43.9,22,23,48.9,66.7,84.7
47,2024-01-23,Home,Ottawa Senators,1,4,L,,25,10,0,5,0,44,36,55.0,30,28,51.7,20,19,51.3,53.9,91.1
48,2024-01-25,Home,New York Islanders,4,3,W,,26,25,2,5,0,26,57,31.3,19,46,29.2,12,16,42.9,40.5,113.3
49,2024-01-27,Away,Pittsburgh Penguins,2,3,L,OT,27,4,1,1,0,45,70,39.1,40,49,44.9,21,31,40.4,57.9,93.7
50,2024-02-06,Away,Washington Capitals,5,2,W,,26,8,1,2,0,35,63,35.7,30,46,39.5,25,23,52.1,32.1,111.5
51,2024-02-10,Home,Dallas Stars,2,3,L,,20,12,0,4,0,35,48,42.2,22,35,38.6,16,20,44.4,65.0,102.7
52,2024-02-11,Home,St. Louis Blues,2,7,L,,32,29,0,3,0,48,37,56.5,36,31,53.7,18,17,51.4,69.6,91.5
53,2024-02-13,Home,Anaheim Ducks,5,0,W,,38,33,2,6,0,47,36,56.6,34,25,57.6,16,17,48.5,69.6,113.0
54,2024-02-15,Away,New York Rangers,4,7,L,,36,8,1,5,0,51,41,55.4,34,34,50.0,20,35,36.4,60.1,92.2
55,2024-02-17,Home,Washington Capitals,3,4,L,,31,2,1,3,0,55,68,44.7,40,43,48.2,29,21,58.0,37.9,97.0
56,2024-02-21,Home,Buffalo Sabres,2,3,L,,31,10,0,4,0,56,37,60.2,42,21,66.7,25,14,64.1,56.3,102.8
57,2024-02-22,Away,Pittsburgh Penguins,1,4,L,,31,6,0,3,0,61,50,55.0,45,41,52.3,21,25,45.7,62.5,91.6
58,2024-02-24,Away,New Jersey Devils,3,4,L,,26,4,0,0,0,51,42,54.8,40,27,59.7,19,28,40.4,48.3,93.9
59,2024-02-27,Home,Arizona Coyotes,4,2,W,,21,6,0,0,0,40,66,37.7,27,45,37.5,25,17,59.5,44.8,114.6
60,2024-02-29,Away,Florida Panthers,3,4,L,SO,31,12,1,4,0,40,55,42.1,31,42,42.5,19,27,41.3,43.4,107.1
61,2024-03-02,Away,Tampa Bay Lightning,3,4,L,SO,31,9,0,2,0,53,52,50.5,37,39,48.7,23,26,46.9,39.1,102.4
62,2024-03-05,Away,Nashville Predators,4,3,W,OT,30,9,0,2,0,52,44,54.2,35,31,53.0,27,30,47.4,40.6,100.5
63,2024-03-07,Away,Carolina Hurricanes,1,4,L,,25,10,0,5,0,34,75,31.2,29,55,34.5,17,28,37.8,31.7,93.0
64,2024-03-09,Home,Toronto Maple Leafs,2,3,L,,31,6,1,4,0,46,47,49.5,34,33,50.7,23,22,51.1,53.2,92.5
65,2024-03-12,Home,Columbus Blue Jackets,3,0,W,,23,10,1,3,0,40,74,35.1,34,45,43.0,15,21,41.7,32.5,109.5
66,2024-03-14,Home,Boston Bruins,1,2,L,OT,19,8,0,3,0,42,46,47.7,25,31,44.6,14,18,43.8,45.8,93.8
67,2024-03-16,Away,Calgary Flames,2,5,L,,38,8,0,3,0,70,42,62.5,48,26,64.9,33,15,68.8,54.1,92.7
68,2024-03-19,Away,Edmonton Oilers,2,3,L,OT,25,15,0,3,0,52,37,58.4,34,20,63.0,23,16,59.0,45.5,97.8
69,2024-03-21,Away,Vancouver Canucks,1,4,L,,17,10,0,3,0,33,53,38.4,22,37,37.3,22,17,56.4,42.3,89.0
70,2024-03-24,Away,Seattle Kraken,5,1,W,,17,8,0,2,1,35,63,35.7,24,47,33.8,24,21,53.3,28.3,123.4
71,2024-03-26,Away,Colorado Avalanche,2,1,W,,27,6,0,3,0,41,62,39.8,31,42,42.5,25,22,53.2,45.9,104.8
72,2024-03-28,Home,Philadelphia Flyers,4,1,W,,17,14,1,2,0,40,45,47.1,27,30,47.4,23,22,51.1,34.2,115.7
73,2024-03-30,Home,Carolina Hurricanes,0,3,L,,26,4,0,3,0,44,58,43.1,33,40,45.2,23,27,46.0,50.0,96.0
74,2024-04-02,Home,Florida Panthers,5,3,W,,38,26,1,7,1,50,50,50.0,37,37,50.0,15,26,36.6,39.2,98.7
75,2024-04-04,Home,Tampa Bay Lightning,4,7,L,,30,16,0,4,0,52,42,55.3,33,31,51.6,21,26,44.7,53.6,96.7
76,2024-04-06,Home,Toronto Maple Leafs,2,4,L,,26,9,1,1,0,63,54,53.8,42,40,51.2,28,27,50.9,62.0,89.4
77,2024-04-07,Away,New York Rangers,2,5,L,,28,6,0,1,0,48,70,40.7,40,55,42.1,19,28,40.4,36.4,99.5
78,2024-04-09,Home,Philadelphia Flyers,9,3,W,,30,6,0,0,0,66,70,48.5,42,55,43.3,27,32,45.8,44.4,122.5
79,2024-04-11,Away,New York Islanders,2,3,L,OT,14,13,0,0,0,31,65,32.3,19,47,28.8,19,22,46.3,41.4,105.0
80,2024-04-13,Away,Ottawa Senators,4,5,L,SO,25,12,1,3,1,48,62,43.6,32,46,41.0,21,22,48.8,35.0,105.8
81,2024-04-15,Away,Detroit Red Wings,4,5,L,OT,21,2,0,0,0,39,80,32.8,28,48,36.8,26,23,53.1,45.9,102.4
82,2024-04-16,Home,Detroit Red Wings,4,5,L,SO,33,0,0,3,0,49,68,41.9,39,53,42.4,23,23,50.0,30.2,103.5
1,2023-10-12,Away,Buffalo Sabres,5,1,W,,31,8,1,4,1,45,42,51.7,35,28,55.6,30,20,60.0,45.6,106.8
2,2023-10-14,Away,Columbus Blue Jackets,3,5,L,,42,2,1,3,0,80,40,66.7,56,30,65.1,29,24,54.7,52.9,84.4
3,2023-10-16,Home,Arizona Coyotes,2,1,W,,28,38,1,3,0,51,37,58.0,36,26,58.1,18,22,45.0,60.5,104.8
4,2023-10-19,Home,Nashville Predators,1,4,L,,24,8,1,4,0,45,40,52.9,27,31,46.6,20,18,52.6,65.4,91.7
5,2023-10-21,Away,Seattle Kraken,4,1,W,,27,15,0,1,0,44,42,51.2,36,29,55.4,28,20,58.3,45.2,112.1
6,2023-10-24,Away,Calgary Flames,3,1,W,,20,8,2,5,0,29,54,34.9,21,36,36.8,12,25,32.4,52.0,102.6
7,2023-10-26,Away,Edmonton Oilers,3,0,W,,32,4,1,3,0,49,60,45.0,39,43,47.6,25,20,55.6,27.7,107.4
8,2023-10-28,Away,Vancouver Canucks,4,3,W,OT,24,12,3,6,0,28,43,39.4,20,32,38.5,23,12,65.7,27.3,103.1
9,2023-10-30,Away,Winnipeg Jets,3,2,W,OT,26,6,1,3,0,37,57,39.4,27,37,42.2,24,21,53.3,40.8,102.0
10,2023-11-02,Home,Carolina Hurricanes,2,1,W,,26,4,1,5,0,38,58,39.6,28,38,42.4,22,28,44.0,40.6,105.0
11,2023-11-04,Away,Minnesota Wild,4,5,L,SO,18,8,0,1,0,38,76,33.3,25,49,33.8,24,12,66.7,56.8,107.9
12,2023-11-07,Home,Detroit Red Wings,5,3,W,,32,12,2,3,0,52,36,59.1,44,30,59.5,22,13,62.9,50.0,96.5
13,2023-11-09,Home,Minnesota Wild,4,1,W,,28,7,1,1,0,50,59,45.9,38,44,46.3,26,16,61.9,58.1,107.7
14,2023-11-12,Home,Columbus Blue Jackets,4,3,W,SO,40,6,0,3,0,73,49,59.8,52,37,58.4,42,19,68.9,54.1,98.0
15,2023-11-18,Away,New Jersey Devils,5,3,W,,35,2,1,3,0,54,64,45.8,38,45,45.8,22,20,52.4,55.6,106.7
16,2023-11-20,Away,Dallas Stars,3,6,L,,33,6,1,4,0,46,61,43.0,39,43,47.6,22,21,51.2,50.0,96.6
17,2023-11-22,Away,Pittsburgh Penguins,1,0,W,,36,10,0,3,0,49,61,44.5,38,42,47.5,24,25,49.0,48.5,103.2
18,2023-11-24,Away,Philadelphia Flyers,3,1,W,,19,34,0,2,0,39,42,48.1,26,30,46.4,20,19,51.3,36.0,118.9
19,2023-11-25,Home,Boston Bruins,7,4,W,,40,6,1,3,1,66,48,57.9,51,35,59.3,38,22,63.3,49.0,102.3
20,2023-11-27,Home,Buffalo Sabres,1,5,L,,26,4,1,3,0,43,56,43.4,28,41,40.6,28,12,70.0,40.7,86.1
21,2023-11-29,Home,Detroit Red Wings,3,2,W,,41,14,0,2,0,65,40,61.9,45,27,62.5,24,11,68.6,67.9,104.1
22,2023-12-02,Away,Nashville Predators,4,3,W,,25,8,1,2,0,48,62,43.6,32,47,40.5,31,22,58.5,55.6,110.6
23,2023-12-03,Home,San Jose Sharks,6,5,W,,36,4,1,3,0,56,52,51.9,40,40,50.0,27,23,54.0,42.4,99.0
24,2023-12-05,Away,Ottawa Senators,2,6,L,,35,11,1,4,0,42,56,42.9,33,39,45.8,29,19,60.4,51.6,83.0
25,2023-12-09,Away,Washington Capitals,0,4,L,,31,11,0,1,0,52,42,55.3,41,34,54.7,20,28,41.7,63.9,84.0
26,2023-12-10,Home,Los Angeles Kings,4,1,W,,27,22,2,5,0,36,35,50.7,24,28,46.2,22,12,64.7,40.9,113.3
27,2023-12-12,Home,Toronto Maple Leafs,3,7,L,,31,10,1,2,0,67,41,62.0,47,32,59.5,24,23,51.1,65.3,82.9
28,2023-12-15,Home,Anaheim Ducks,5,1,W,,39,6,2,6,0,50,49,50.5,36,42,46.2,24,22,52.2,53.8,106.2
29,2023-12-16,Away,Boston Bruins,2,1,W,OT,34,15,1,6,0,43,42,50.6,33,29,53.2,18,16,52.9,51.3,99.3
30,2023-12-19,Away,Toronto Maple Leafs,5,2,W,,36,0,2,2,0,54,61,47.0,37,46,44.6,21,21,50.0,33.3,104.1
31,2023-12-22,Home,Edmonton Oilers,3,4,L,,34,4,1,3,0,60,45,57.1,36,32,52.9,18,29,38.3,62.5,87.4
32,2023-12-23,Home,Buffalo Sabres,4,3,W,OT,33,7,1,4,0,52,55,48.6,37,42,46.8,25,25,50.0,52.1,102.2
33,2023-12-27,Home,Washington Capitals,5,1,W,,31,4,1,3,0,41,48,46.1,36,37,49.3,17,17,50.0,43.9,111.2
34,2023-12-29,Away,Florida Panthers,3,4,L,,34,6,0,2,1,53,61,46.5,42,39,51.9,19,30,38.8,65.5,95.6
35,2023-12-30,Away,Tampa Bay Lightning,5,1,W,,21,10,1,2,0,38,66,36.5,30,46,39.5,24,26,48.0,52.8,120.0
36,2024-01-02,Home,Carolina Hurricanes,1,6,L,,29,8,0,3,0,42,37,53.2,34,28,54.8,23,23,50.0,70.4,82.9
37,2024-01-04,Home,Chicago Blackhawks,4,1,W,,32,11,1,2,0,62,44,58.5,47,28,62.7,27,14,65.9,50.7,105.6
38,2024-01-06,Away,Montreal Canadiens,3,4,L,SO,48,4,0,3,0,66,53,55.5,46,39,54.1,20,18,52.6,44.1,96.3
39,2024-01-08,Home,Vancouver Canucks,3,6,L,,42,0,1,2,0,57,47,54.8,46,38,54.8,31,23,57.4,59.4,82.5
40,2024-01-11,Away,St. Louis Blues,2,5,L,,43,8,1,3,0,66,32,67.3,44,21,67.7,16,16,50.0,75.0,84.6
41,2024-01-13,Away,Washington Capitals,2,3,L,,27,10,0,3,0,55,44,55.6,35,31,53.0,34,15,69.4,60.3,94.4
42,2024-01-14,Home,Washington Capitals,2,1,W,,31,6,0,5,0,37,52,41.6,28,30,48.3,13,26,33.3,50.0,105.5
43,2024-01-16,Home,Seattle Kraken,5,2,W,,23,4,1,2,0,45,63,41.7,36,48,42.9,25,12,67.6,40.9,118.2
44,2024-01-18,Away,Vegas Golden Knights,1,5,L,,30,6,1,3,0,59,36,62.1,39,23,62.9,17,20,45.9,73.9,85.0
45,2024-01-20,Away,Los Angeles Kings,1,2,L,,23,2,0,3,0,41,52,44.1,28,35,44.4,18,24,42.9,33.3,98.2
46,2024-01-21,Away,Anaheim Ducks,5,2,W,,33,6,2,4,0,72,26,73.5,46,18,71.9,23,27,46.0,77.1,97.0
47,2024-01-23,Away,San Jose Sharks,2,3,L,OT,31,6,0,3,0,51,45,53.1,38,31,55.1,28,18,60.9,61.0,90.7
48,2024-01-26,Home,Vegas Golden Knights,2,5,L,,38,4,0,2,0,71,41,63.4,49,31,61.3,26,24,52.0,75.8,79.7
49,2024-01-27,Away,Ottawa Senators,7,2,W,,29,14,0,3,0,50,57,46.7,34,43,44.2,28,23,54.9,41.9,123.2
50,2024-02-05,Home,Colorado Avalanche,2,1,W,OT,29,8,0,1,0,51,53,49.0,37,43,46.3,22,17,56.4,36.1,105.0
51,2024-02-07,Home,Tampa Bay Lightning,3,1,W,,24,2,0,2,0,43,55,43.9,35,33,51.5,14,17,45.2,34.8,107.8
52,2024-02-09,Away,Chicago Blackhawks,4,3,W,OT,35,6,0,3,0,45,49,47.9,33,36,47.8,19,31,38.0,57.4,102.6
53,2024-02-12,Home,Calgary Flames,2,0,W,,31,10,0,3,0,65,48,57.5,44,34,56.4,24,15,61.5,59.0,106.7
54,2024-02-15,Home,Montreal Canadiens,7,4,W,,31,10,1,4,1,42,50,45.7,34,34,50.0,35,20,63.6,39.9,107.8
55,2024-02-18,Away,New York Islanders,6,5,W,OT,38,11,3,5,0,50,58,46.3,34,49,41.0,20,37,35.1,44.3,104.2
56,2024-02-20,Home,Dallas Stars,3,1,W,,26,8,0,4,0,39,56,41.1,28,38,42.4,23,22,51.1,34.6,116.7
57,2024-02-22,Away,New Jersey Devils,5,1,W,,18,30,1,5,0,26,63,29.2,20,42,32.3,16,22,42.1,43.1,125.0
58,2024-02-24,Away,Philadelphia Flyers,2,1,W,,24,13,0,5,0,45,71,38.8,29,55,34.5,14,34,29.2,44.7,106.7
59,2024-02-25,Away,Columbus Blue Jackets,2,4,L,,40,11,0,2,0,70,65,51.9,47,53,47.0,31,27,53.4,52.5,98.3
60,2024-02-28,Home,Columbus Blue Jackets,4,1,W,,30,9,1,3,0,59,61,49.2,40,40,50.0,25,24,51.0,48.6,107.4
61,2024-03-02,Away,Toronto Maple Leafs,3,4,L,SO,35,13,0,3,0,55,62,47.0,45,51,46.9,28,37,43.1,50.2,101.6
62,2024-03-04,Home,Florida Panthers,2,4,L,,28,6,2,4,0,39,46,45.9,25,34,42.4,22,20,52.4,52.2,88.0
